T	M
2.72491664E+1	5.19121326E+0
2.72726790E+1	5.18965210E+0
2.72982843E+1	5.18732910E+0
2.73205706E+1	5.18717079E+0
2.73508060E+1	5.18451161E+0
2.73806679E+1	5.18322463E+0
2.74020196E+1	5.18188327E+0
2.74166637E+1	5.18000600E+0
2.74246130E+1	5.17887512E+0
2.74575660E+1	5.17778511E+0
2.74854864E+1	5.17596456E+0
2.75034089E+1	5.17509253E+0
2.75283168E+1	5.17349018E+0
2.75647588E+1	5.17187631E+0
2.75883558E+1	5.17108474E+0
2.76135016E+1	5.16835552E+0
2.76381307E+1	5.16659803E+0
2.76709326E+1	5.16526775E+0
2.76936789E+1	5.16323180E+0
2.77258392E+1	5.16149310E+0
2.77560886E+1	5.16058198E+0
2.77841180E+1	5.15888877E+0
2.78055807E+1	5.15783172E+0
2.78353703E+1	5.15649213E+0
2.78613804E+1	5.15425277E+0
2.78876122E+1	5.15379877E+0
2.79005109E+1	5.15254771E+0
2.79373847E+1	5.15170231E+0
2.79604939E+1	5.14956633E+0
2.79867091E+1	5.14777778E+0
2.80100604E+1	5.14709081E+0
2.80324179E+1	5.14542230E+0
2.80578523E+1	5.14419180E+0
2.80818493E+1	5.14238064E+0
2.81088638E+1	5.14137372E+0
2.81400655E+1	5.13884047E+0
2.81656326E+1	5.13719449E+0
2.81954429E+1	5.13637871E+0
2.82134476E+1	5.13534046E+0
2.82409298E+1	5.13414645E+0
2.82727134E+1	5.13281272E+0
2.82989008E+1	5.13069249E+0
2.83238346E+1	5.12965250E+0
2.83417704E+1	5.12828362E+0
2.83671752E+1	5.12782089E+0
2.83921090E+1	5.12651928E+0
2.84093126E+1	5.12499293E+0
2.84290944E+1	5.12352987E+0
2.84655320E+1	5.12210146E+0
2.84871597E+1	5.12174287E+0
2.85160721E+1	5.11989688E+0
2.85324375E+1	5.11883398E+0
2.85594597E+1	5.11690253E+0
2.85756184E+1	5.11581338E+0
2.86045783E+1	5.11408543E+0
2.86304213E+1	5.11188715E+0
2.86598494E+1	5.11072227E+0
2.86866566E+1	5.10935303E+0
2.87017656E+1	5.10870743E+0
2.87312315E+1	5.10700380E+0
2.87544020E+1	5.10572518E+0
2.87829450E+1	5.10524297E+0
2.88113509E+1	5.10353746E+0
2.88320143E+1	5.10272932E+0
2.88571156E+1	5.10128308E+0
2.88792535E+1	5.09965848E+0
2.89016094E+1	5.09885005E+0
2.89238561E+1	5.09730916E+0
2.89440653E+1	5.09580979E+0
2.89608032E+1	5.09487791E+0
2.89929281E+1	5.09303360E+0
2.90121183E+1	5.09178613E+0
2.90413087E+1	5.08933822E+0
2.90699479E+1	5.08795390E+0
2.90949781E+1	5.08509925E+0
2.91263971E+1	5.08438509E+0
2.91491819E+1	5.08259373E+0
2.91851234E+1	5.08160842E+0
2.92054286E+1	5.07961891E+0
2.92358592E+1	5.07793786E+0
2.92557649E+1	5.07730329E+0
2.92881415E+1	5.07621518E+0
2.93052370E+1	5.07458195E+0
2.93339496E+1	5.07296514E+0
2.93541446E+1	5.07157708E+0
2.93834594E+1	5.07118638E+0
2.94082417E+1	5.06946021E+0
2.94347604E+1	5.06832747E+0
2.94579034E+1	5.06690230E+0
2.94778793E+1	5.06457926E+0
2.95049759E+1	5.08191330E+0
2.95231049E+1	5.07430979E+0
2.95525985E+1	5.09412588E+0
2.95762898E+1	5.09446028E+0
2.96053425E+1	5.10044683E+0
2.96343679E+1	5.09805799E+0
2.96599216E+1	5.08739272E+0
2.96812194E+1	5.08522632E+0
2.97076135E+1	5.08707257E+0
2.97320345E+1	5.06521272E+0
2.97557285E+1	5.06461634E+0
2.97828906E+1	5.06093375E+0
2.98028790E+1	5.05686193E+0
2.98330245E+1	5.05877662E+0
2.98573798E+1	5.05737786E+0
2.98770795E+1	5.05597716E+0
2.98998920E+1	5.05373939E+0
2.99298110E+1	5.05144527E+0
2.99583666E+1	5.05087772E+0
2.99855862E+1	5.06921509E+0
3.00059312E+1	5.04787362E+0
3.00285507E+1	5.06798033E+0
3.00550823E+1	5.06592481E+0
3.00815315E+1	5.06481593E+0
3.01059113E+1	5.06352623E+0
3.01323053E+1	5.06264689E+0
3.01549659E+1	5.06292876E+0
3.01802854E+1	5.06055890E+0
3.02120517E+1	5.05888255E+0
3.02328390E+1	5.05643019E+0
3.02630217E+1	5.05525924E+0
3.02905453E+1	5.05316521E+0
3.03181506E+1	5.05180438E+0
3.03359348E+1	5.05131130E+0
3.03643132E+1	5.04925873E+0
3.03897980E+1	5.04734708E+0
3.04144111E+1	5.04583763E+0
3.04459572E+1	5.04472545E+0
3.04640400E+1	5.04284218E+0
3.04647150E+1	5.04199472E+0
3.04939889E+1	5.04116490E+0
3.05091834E+1	5.03887463E+0
3.05274462E+1	5.03742027E+0
3.05570361E+1	5.03606887E+0
3.05879906E+1	5.03316769E+0
3.06087366E+1	5.01782244E+0
3.06344982E+1	5.02004373E+0
3.06641846E+1	5.01427566E+0
3.06821719E+1	5.01624610E+0
3.07063755E+1	5.01666093E+0
3.07295745E+1	5.01488597E+0
3.07564230E+1	5.01387242E+0
3.07834053E+1	5.01235370E+0
3.08150753E+1	5.01073337E+0
3.08428334E+1	5.00911592E+0
3.08678636E+1	5.00902788E+0
3.08883757E+1	5.00641965E+0
3.09191364E+1	5.00643448E+0
3.09468359E+1	5.00448615E+0
3.09636145E+1	5.00520251E+0
3.09915528E+1	5.00276836E+0
3.10203716E+1	5.00251426E+0
3.10430060E+1	4.99804160E+0
3.10628026E+1	5.00003383E+0
3.10913449E+1	4.99741386E+0
3.11099129E+1	4.99539611E+0
3.11414177E+1	4.99464461E+0
3.11643415E+1	4.99286658E+0
3.11920028E+1	4.99109329E+0
3.12183701E+1	4.99105417E+0
3.12496819E+1	4.98713790E+0
3.12734044E+1	5.00757540E+0
3.12992198E+1	5.01221649E+0
3.13359051E+1	5.01359927E+0
3.13565408E+1	5.01078093E+0
3.13829227E+1	5.00962540E+0
3.14089585E+1	5.00722907E+0
3.14323882E+1	5.00353301E+0
3.14657250E+1	5.00517368E+0
3.14888409E+1	5.00231122E+0
3.15114328E+1	5.00077003E+0
3.15451044E+1	5.00030766E+0
3.15683163E+1	4.99979750E+0
3.16014776E+1	4.99743326E+0
3.16194685E+1	4.98962912E+0
3.16462121E+1	4.98874030E+0
3.16717795E+1	4.98897398E+0
3.16981601E+1	4.98845329E+0
3.17299541E+1	4.98906640E+0
3.17521288E+1	4.98297445E+0
